好的，作为京剧剧本创作专家，我将严格遵循您的要求，基于提供的视频内容和参考剧本，为您完善一份专业、详尽的京剧《芭蕉扇》剧本。

---

### **《芭蕉扇》选段剧本**

**剧情大纲**

本剧取材于《西游记》，讲述唐僧师徒西天取经，行至八百里火焰山，酷热难当，无法通行。孙悟空得知翠云山芭蕉洞铁扇公主（娥叉女）有芭蕉宝扇，可扇灭火焰，遂前往借扇。因往日孙悟空曾降伏其子红孩儿，铁扇公主心怀旧怨，不但不借，反用假扇欺之，致使孙悟空被火焰烧伤。孙悟空无奈，又往积雷山摩云洞寻其夫君牛魔王（牛马王）求情。牛魔王亦不允，与孙悟空大战。孙悟空不敌，遂心生一计，变作牛魔王模样，前往芭蕉洞骗取真扇。不料归途之中，又被变作猪八戒模样的牛魔王将扇骗回。孙悟空走投无路，只得求助于托塔天王李靖。最终，在天兵天将的协助下，成功降伏牛魔王，夺得宝扇，扇灭火焰，师徒四人得以继续西行。

**出场人物及脸谱、妆容介绍**

1.  **孙悟空**
    *   **行当:** 武生（猴戏）
    *   **脸谱特征:** 勾“倒栽桃”形脸谱，红色心形为主体，象征其忠勇赤诚。眼窝处用金粉或黄色勾勒，象征“火眼金睛”。眉眼、鼻窝、嘴部用黑色线条勾出猴的特征，显得机敏、顽皮。
    *   **妆容细节:** 面部妆容突出猴的灵动，眼神表演尤为重要。
    *   **服饰与头饰:** 头戴“紫金冠”，后插两根长长的雉鸡翎（翎子），象征其“齐天大圣”的身份与好斗善战的性格。身穿黄色“猴靠”（改良式靠），上有鳞甲纹样，背插四面“靠旗”，显得威风凛凛。腰系“鸾带”，脚蹬“虎头靴”。手持道具“金箍棒”。

2.  **娥叉女 (铁扇公主)**
    *   **行当:** 花旦（刀马旦）
    *   **脸谱特征:** “俊扮”，不勾脸谱，以素面为主，突出女性的秀美与威严。
    *   **妆容细节:** 采用旦角的标准“贴片”妆容，修饰脸型。敷粉、涂胭脂、画眉、点唇，眼角上挑，显得妩媚而有气势。
    *   **服饰与头饰:** 头戴“凤冠”或华丽的“头面”，缀有珠翠点缀，象征其妖仙的尊贵地位。身着黑色或红色“女蟒”或“女靠”，配以云肩，袖为“水袖”，便于表现情绪与身段。手持双剑及“芭蕉扇”。

3.  **牛马王 (牛魔王)**
    *   **行当:** 净（架子花脸）
    *   **脸谱特征:** 勾“牛形”脸谱，主色调为黑色，象征其勇猛、刚直。眉眼夸张上扬，形似牛角，鼻窝、嘴窝用白色或红色勾勒，突出其妖王霸气。
    *   **妆容细节:** 脸谱线条粗犷，色彩对比强烈，以显其性格暴烈。
    *   **服饰与头饰:** 头戴“帅盔”，盔顶常有牛角装饰。身穿黑色或绿色“硬靠”，背插“靠旗”，或穿黑色“蟒袍”，腰系“玉带”，脚蹬“厚底靴”，显得高大威猛。手持混铁棍或双鞭。

4.  **假牛马王 (孙悟空所变)**
    *   **行当:** 丑
    *   **脸谱特征:** 模仿牛马王的脸谱，但在鼻梁处加一块白色“豆腐块”，这是丑行的标志。整体线条不如真牛马王规整，带有滑稽感，象征其“假冒”身份。
    *   **妆容细节:** 动作、念白均带有丑行的诙谐、夸张特点。
